Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via del Pettirosso,2300,8.25,POINT (9.121397740385174 45.45612672937396)
Via dell'Allodola,2300,8.25,POINT (9.120265968291628 45.45498470596012)
Via dell'Usignolo,2300,8.25,POINT (9.119176672799197 45.45390591902787)
Via della Capinera,2300,8.25,POINT (9.119893412734427 45.45592702302596)
Via della Rondine,2300,8.25,POINT (9.122860410737633 45.45278512997903)
Via Osteno,2300,8.25,POINT (9.113550115895237 45.46406002504008)
Via Privata Postumia,2300,8.25,POINT (9.067055112247843 45.54069004512424)
Via Federico Engels,2300,8.25,POINT (9.110669384284739 45.4754475059296)
Via Ferruccio Parri,2300,8.25,POINT (9.113978399937553 45.45536056082869)
Via Filippo Maria Beltrami,2300,8.25,POINT (9.115870059056135 45.46020003289925)
Via Fratelli Zoia,2300,8.25,POINT (9.109811891296831 45.46428886300963)
Via Giordani,2300,8.25,POINT (9.123750959113131 45.44250460425451)
Via Lamennais,2300,8.25,POINT (9.112712486213288 45.4735197829545)
Via Cannizzaro,2300,8.25,POINT (8.933740062142604 45.55126004412362)
Via Luigi Zoja,2300,8.25,POINT (9.106516373583162 45.47425554615283)
Via Milly (Carla Mignone),2300,8.25,POINT (9.10640375901103 45.47401105653666)
Via Nikolajevka,2300,8.25,POINT (9.104949568448786 45.45846567362211)
Via Cacciatori,2300,8.25,POINT (9.110544323682872 45.47173691154727)
Via Remigio Paone,2300,8.25,POINT (9.106042105496895 45.46997169974193)
Via Viterbo,2300,8.25,POINT (9.108620575282856 45.45636095423131)
Via delle Gardenie,2300,8.25,POINT (9.131365096723357 45.45418505345199)
Via Alessandro Sanquirico,2300,8.25,POINT (9.124225098231904 45.46936503633361)
Via Cascina Barocco,2300,8.25,POINT (9.108349645565115 45.46228429847265)
Via Domokos,2300,8.25,POINT (9.122850220958471 45.46768814776603)
Via Francesco Pastonchi,2300,8.25,POINT (9.119973992235751 45.47012981701815)
Via Giulio Ferreri,2300,8.25,POINT (9.12166006822217 45.46982002699274)
Via Giuseppe Gabetti,2300,8.25,POINT (9.122147379121389 45.46804819364605)
Via delle Azalee,2300,8.25,POINT (9.128626521905154 45.45788236614171)
Via Quinto Cenni,2300,8.25,POINT (9.124196017801191 45.46903191168343)
Via delle Genziane,2300,8.25,POINT (9.125222360746536 45.45259359802487)
Via Padre Leonardo Murialdo,2300,8.25,POINT (9.129185812911421 45.44852290478914)
Via Menaggio,2300,8.25,POINT (9.125703263614739 45.44627196329682)
Piazza Tirana,2300,8.25,POINT (9.130044821968514 45.44394382443195)
Via Zurigo,2300,8.25,POINT (9.119330654352305 45.45682501528237)
Via Val Blenio,2300,8.25,POINT (9.128365958766963 45.45911691761692)
Via Val Bavona,2300,8.25,POINT (9.125256140676388 45.44861361820631)
Via Ugo Pisa,2300,8.25,POINT (9.120430107750195 45.45313503148645)
Via Teobaldo Ciconi,2300,8.25,POINT (9.117597119275109 45.45431634173243)
Via Sant'Anatalone,2300,8.25,POINT (9.125100085104393 45.44743005672815)
Via Remo La Valle,2300,8.25,POINT (9.12714011460875 45.44580002801763)
Via delle Rose,2300,8.25,POINT (9.13311961800764 45.44956303347713)
Via Lana al Sole,2300,8.25,POINT (9.183476905353441 45.45208391626205)
Via Giuseppe Carozzi,2300,8.25,POINT (9.118707306942211 45.45468191024307)
Via Giovanni Labus,2300,8.25,POINT (9.124886469515141 45.46088934302397)
Via delle Margherite,2300,8.25,POINT (9.125291491020757 45.45521037811476)
Via dello Storno,2300,8.25,POINT (9.123481720762602 45.4521225241462)
Via delle Viole,2300,8.25,POINT (9.131162618477484 45.45135991254799)
Via delle Mimose,2300,8.25,POINT (9.12730392811994 45.45505834971755)
Via delle Ortensie,2300,8.25,POINT (9.131327180504135 45.45155101771181)
Via Valsesia,2278,7.63,POINT (9.09436430099281 45.45410397126364)
Via Mar Nero,2278,7.63,POINT (9.103953559186357 45.45766001370416)
Via Sandro Pertini,2271,7.42,POINT (9.074132392178884 45.4571667030886)
Via Val D'Intelvi,2257,7,POINT (9.087100571894068 45.46124674747269)
Via privata Val Morea,2257,7,POINT (9.085594849561483 45.4599674217451)
Via Palmi,2257,7,POINT (9.097683128573816 45.45918338012373)
Via Pistoia,2257,7,POINT (9.091633527495976 45.46336657747225)
Via Privata Albona,2257,7,POINT (9.094653143712101 45.45935990852223)
Via privata Alessandro Scanini,2257,7,POINT (9.090804962883613 45.4670953470192)
Via privata Fratelli Piazza,2257,7,POINT (8.812542610337166 45.50660525019531)
Via privata Gabriele Camozzi,2257,7,POINT (9.094789054034491 45.46159635465222)
Via privata Spinazzola,2257,7,POINT (9.073395099990719 45.45404004652707)
Via privata Valtravaglia,2257,7,POINT (9.084835098630208 45.46113503419848)
Via Val Canobbina,2257,7,POINT (9.091190994707741 45.45942337027008)
Via Salvo d'Acquisto,2257,7,POINT (9.095535576843272 45.46137886702581)
Via Valle Isorno,2257,7,POINT (9.088660270729429 45.45906003999702)
Via Valle Aurina,2257,7,POINT (9.086825267720194 45.4574192602083)
Via Valle Anzasca,2257,7,POINT (9.09197736592494 45.45764467496327)
Via Ugo Frigerio,2257,7,POINT (9.083965057080604 45.4661350489902)
Via Monsignor Oscar Arnulfo Romero,2257,7,POINT (9.085224853322718 45.46398096969966)
Via Val di Noce,2257,7,POINT (9.08568290306579 45.45943870688684)
Via Val Badia,2257,7,POINT (9.085166745087873 45.46034823642653)
Via Alberico da Rosciate,2257,7,POINT (9.093536139874082 45.45803226969618)
Via Masaniello,2257,7,POINT (9.092702388565215 45.4618678372018)
Via Vittuone,2257,7,POINT (9.086626781733553 45.45878385249018)
Via Antonio Mosca,2257,7,POINT (9.087603435300373 45.45901469754637)
Via Bartolomeo Cabella,2257,7,POINT (9.094028025520347 45.45939369192616)
Via Bernardino Ghiringhelli,2257,7,POINT (9.086556172170232 45.45795090737028)
Piazza Madonna della Provvidenza,2257,7,POINT (9.089119537220601 45.4768811780298)
Via Budrio,2257,7,POINT (9.081396279331452 45.46688282103411)
Via Capri,2257,7,POINT (9.092439292455145 45.46731632208174)
Via Casorati,2257,7,POINT (9.069793925991984 45.45251056506972)
Via Cusago,2257,7,POINT (9.086190075188028 45.46220003881595)
Via degli Abeti,2257,7,POINT (9.083771379542762 45.45258507342999)
Via Gustavo Bontadini,2257,7,POINT (9.086783494152399 45.45859581936796)
Via degli Ontani,2257,7,POINT (9.081266256949394 45.45384936097623)
Via dei Larici,2257,7,POINT (9.082810409775192 45.45345207013829)
Via delle Forze Armate,2257,7,POINT (9.101943040901437 45.45945622821778)
Via Don Ernesto Vercesi,2257,7,POINT (9.096175905032567 45.4595288167593)
Via Alessandro Silva,2257,7,POINT (9.092503843957235 45.4649628974814)
Via Eugenio Quarti,2257,7,POINT (9.090243880080655 45.47032419410863)
Via Fratelli di Dio,2257,7,POINT (9.096317152573445 45.46225495953539)
Via Giuseppe Galliano,2257,7,POINT (9.093201971560758 45.46458292642482)
Via Eligio Brigatti,2257,7,POINT (9.092753920903053 45.46163868911732)
Piazza Anita Garibaldi,2257,7,POINT (9.08763693043762 45.4636206688411)
Via Cascina Bellaria,2250,7.58,POINT (9.098036745053578 45.4871954159189)
Via Ottone Rosai,2225,7.25,POINT (9.104949262517065 45.49313005781411)
Via Giorgio de Chirico,2225,7.25,POINT (9.098853191813019 45.49327082390496)
Via Giovanni Battista Angioletti,2225,7.25,POINT (9.103490997964791 45.49329885818643)
Via Giovanni Battista Rasario,2225,7.25,POINT (9.074148734186906 45.49036276750756)
Via Karl Popper,2225,7.25,POINT (9.119501889132628 45.49412431215425)
Via Luigi Ratti,2225,7.25,POINT (9.099531670768878 45.4910924480678)
Via Matilde Viscontini,2225,7.25,POINT (9.105653651352698 45.49155665731884)
Via Alex Visconti,2225,7.25,POINT (9.101196896181897 45.50315184528256)
Via Fratelli Beolchi,2225,7.25,POINT (9.099362179570997 45.492016728431)
Via Parabiago,2225,7.25,POINT (9.109962194833326 45.5019400384894)
Via Privata Cefalù,2225,7.25,POINT (9.114396875322266 45.50250377181921)
Via Sem Benelli,2225,7.25,POINT (9.124063824048019 45.49704829719761)
Via Torrazza,2225,7.25,POINT (9.098273748105619 45.50121487084257)
Via Venezuela,2225,7.25,POINT (9.125579149970358 45.49531554031497)
Via Vergiate,2225,7.25,POINT (9.113461921563147 45.49940286597641)
Via Virgilio Brocchi,2225,7.25,POINT (9.119876156705446 45.49298482525072)
Via Fratelli Rizzardi,2225,7.25,POINT (9.093890891737775 45.50538297301867)
Via Livio Cambi,2225,7.25,POINT (9.124615480969778 45.49024384861529)
Piazzetta Don Abramo Martignoni,2225,7.25,POINT (9.100963801925618 45.50114624699896)
Via Ferdinando Giorgi,2225,7.25,POINT (9.10265416154812 45.49019110056631)
Via Alberto Cavaliere,2225,7.25,POINT (9.074611207704317 45.49452216293155)
Piazza Rosa Scolari,2225,7.25,POINT (9.100491642929448 45.49064006334676)
Via delle Ande,2225,7.25,POINT (9.127687140143376 45.49524727231277)
Via Emanuele Kant,2225,7.25,POINT (9.117994185594831 45.4963241364377)
Via Eugenio Donadoni,2225,7.25,POINT (9.119549535751091 45.49186058119905)
Via Filippo Anghileri,2225,7.25,POINT (9.072376094585348 45.49398504288092)
Via dei Salici,2194,6.88,POINT (9.079390215530557 45.45218195182331)
Via delle Betulle,2194,6.88,POINT (9.081709509249457 45.45255834235235)
Via Milano,2194,7.08,POINT (9.225178981222237 45.4694205326415)
Via dell'Arcadia,2188,6.5,POINT (9.172600200771326 45.41767149148518)
Largo Giovanni Muzio,2188,6.5,POINT (9.164792524982206 45.41326295715854)
Via Calzolari,2188,6.5,POINT (9.14906865997445 45.43074011736383)
Via Noce Teresa,2188,6.5,POINT (9.17057229515963 45.41670517475517)
Via Gratosoglio,2188,6.5,POINT (9.170240285335263 45.41612837552972)
Via Achille Feraboli,2188,6.5,POINT (9.171671719894546 45.41457543131092)
Via Feraboli Achille,2188,6.5,POINT (9.171671719894546 45.41457543131092)
Via Curoni,2188,6.5,POINT (8.916342299355149 45.40239043296133)
Via Grato Soglio,2188,6.5,POINT (9.170240285335263 45.41612837552972)
Via De Ruggiero Guido,2188,6.5,POINT (9.173207227110554 45.41983998939688)
Via Caio Mario Cattabeni,2188,6.5,POINT (9.164345077781178 45.41409503920661)
Via Vittorio Emanuele Orlando,2188,6.5,POINT (9.174127354216717 45.41703189371229)
Via Marco Polo,2135,7.25,POINT (9.194619717397751 45.48025097016705)
Passaggio Suor Rosa Sozzi,2063,6.5,POINT (9.18178000000006 45.46796000000006)
Via Antonio Aldini,2063,6.5,POINT (9.134369470062097 45.51233265134805)
Via privata Maria Melato,2063,6.5,POINT (9.141712908163337 45.51629269967998)
Via Carlo Perini,2063,6.5,POINT (9.143948355284291 45.51067502635929)
Via privata Antonio Gazzoletti,2063,6.5,POINT (9.136382770886277 45.51752790256903)
Via Val di Fassa,2063,6.5,POINT (9.131459032720382 45.51922818310879)
Via Val Lagarina,2063,6.5,POINT (9.132249755776733 45.52036615557852)
Via privata Raffaele Calzini,2063,6.5,POINT (9.144125077474925 45.5174900477368)
Via privata Fratelli Antona Traversi,2063,6.5,POINT (9.14014933454461 45.51281227171197)
Via Cesare Pascarella,2063,6.5,POINT (9.143304309252136 45.51612690451714)
Via Val Malenco,2063,6.5,POINT (9.133588417772913 45.51981100877761)
Via Val Trompia,2063,6.5,POINT (9.132467421731864 45.51907088978439)
Via Dino Buzzati,2063,6.5,POINT (9.142625167753607 45.51375020873674)
Via Don Francesco Beniamino Della Torre,2063,6.5,POINT (9.139228133403018 45.5086423355074)
Via Otranto,2063,6.5,POINT (9.130372612021926 45.51663228808751)
Via Federico de Roberto,2063,6.5,POINT (9.139629967659568 45.51556328422067)
Via Pietro Thouar,2063,6.5,POINT (9.131132300683904 45.50926868598605)
Via Piero Montagnani Marelli,2063,6.5,POINT (9.142926738508081 45.51450306042279)
Via Giovanni Vittani,2063,6.5,POINT (9.141555102142291 45.51686004293936)
Via Giuseppe Ungaretti,2063,6.5,POINT (9.142380733332278 45.51425167492317)
Via Ignazio Silone,2063,6.5,POINT (9.141442000014655 45.51301535607471)
Via Longarone,2063,6.5,POINT (9.140045383199526 45.5198211446428)
Via Nicola Fabrizi,2063,6.5,POINT (9.132555465969597 45.51078049826196)
Via Luigi Capuana,2063,6.5,POINT (9.14040613138819 45.51797142621538)
Via Giovanni Ameglio,2063,6.5,POINT (9.130808400539227 45.50891305299999)
Via Riccardo Lombardi,1947,5.88,POINT (9.048167164092684 45.45657766786329)
Nuova Strada Vigevanese,1943,6.55,POINT (9.099633410630942 45.43631301509641)
SP412 della Val Tidone,1935,5.88,POINT (9.207532956703844 45.40853457946754)
Via Molinetto,1931,6,POINT (9.057529236363232 45.50441546460419)
Via Antonio Gramsci,1704,4.88,POINT (9.062580506560224 45.48881651431947)
