Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Volterra,5388,17,POINT (9.152795685771162 45.46228084137861)
Via Alberto Riva Villasanta,5388,17,POINT (9.166807725186175 45.4789205277544)
Via Alessandro Algardi,5388,17,POINT (9.145296926124258 45.48370984005917)
Via Privata Giuseppe Cavenaghi,5388,17,POINT (9.205732299865614 45.52820116322472)
Via Angelo Morbelli,5388,17,POINT (9.149710107198786 45.4712950533588)
Via Salvio Giuliano,5388,17,POINT (9.155345848120234 45.45863659780219)
Via Desiderio da Settignano,5388,17,POINT (9.149040728586504 45.47640192100152)
Via Scaldasole,5375,16.75,POINT (9.179296687926652 45.45439313064368)
Viale Gian Galeazzo,5365,16.35,POINT (9.185320379701716 45.45255873500954)
Via Emilio Motta,5356,15.88,POINT (9.163555083406877 45.46548004516656)
Via Gaetano Ronzoni,5325,14.75,POINT (9.176323052960976 45.45424817052697)
Via Conca del Naviglio,5325,14.75,POINT (9.176913196936331 45.45515404799374)
Via Cicco Simonetta,5325,14.75,POINT (9.175770694569495 45.4563922366362)
Via Marco d'Oggiono,5325,14.75,POINT (9.176667298802009 45.45643621125441)
Viale Emilio Papiniano,5325,14.75,POINT (9.252989991911369 45.42454599708956)
Via Bernardino Zenale,5325,14.75,POINT (9.170025920362555 45.46464816320859)
Via Gaudenzio Ferrari,5325,14.75,POINT (9.176210605046904 45.45529966068882)
Via Giovanni Battista Torti,5325,14.75,POINT (9.177122603389794 45.45801208628589)
Via Lesmi,5325,14.75,POINT (9.173810048575433 45.46015286292351)
Via Matteo Bandello,5325,14.75,POINT (9.166569760427114 45.46342990238326)
Via Morozzo della Rocca,5325,14.75,POINT (9.168489487793478 45.46516621084172)
Viale Papiniano,5325,14.75,POINT (9.171670451417755 45.45682897650263)
Piazzale Antonio Cantore,5325,14.75,POINT (9.172635182671408 45.45623847231448)
Viale Gabriele d'Annunzio,5325,14.75,POINT (9.177288728677334 45.45299573388743)
Via Francesco Carchidio,5325,14.75,POINT (9.172025080384699 45.45579502845918)
Via Marco Antonio Bragadino,5325,14.75,POINT (9.16776007468242 45.45874003109464)
Via Arena,5325,14.75,POINT (9.179382369753016 45.45603922434377)
Via Tullio Servio,5325,14.75,POINT (9.168700105123548 45.45945004115787)
Via Tullio Ostilio,5325,14.75,POINT (9.169973602521845 45.45978557263446)
